Organization,Email
"Republik Österreich, vertreten durch Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, vertreten durch Landeshauptfrau von Niederösterreich, vertreten durch das Amt der NÖ Landesregierung, Abteilung Wasserwirtschaft",
Verbund Energy4BusinessGmbH,
Arbeitsmarktservice Österreich Bundesgeschäftsstelle,ams.inf@ams.at
Marktgemeinde Golling an der Erlauf,alois.kammerer@catv.at
Marktgemeinde Wulkaprodersdorf,post@wulkaprodersdorf.bgld.gv.at
Stadtgmeinde Traiskirchenvertr. d. Traiskirchner Betriebsstättenverwaltungs GmbH,m.bartlweber@tbvg.at
BM für Klimaschutz,office@trugina.at
Amt der Niederösterreichischen Landesregierung vertreten durch blp GeoServices GmbH,r.prantl@blpgeo.at
Marktgemeinde Garsten,rosensteiner@garsten.ooe.gv.at
"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau (BVAEB)",kuraufenthalt@kwr.at
Verbund  Energy4Business GmbH,
Freiwillige Feuerwehr Kronberg,
Landeszahnärztekammer für Wien,zahnaerztekammer@kwr.at
Marktgemeinde Brunn am Gebirge,"office@goya.at, office@oekoplan-hartberg.at"
ÖBB Technische Services GmbH,andreas.lehner@oebb.at
ÖBf AG,"hannes.marktl@bundesforste.at, mail@kleinheinz.org"
Freiwillige Feuerwehr Langenzersdorf,office@ff-langenzersdorf.at
ÖBf AG,"hannes.marktl@bundesforste.at, josef.ernst@ernst-ilsinger.com"
LEADER Region Weinviertel Ost,christine.filipp@weinviertelost.at
Gemeinde Ladis,gemeinde@ladis.tirol.gv.at
Gemeinde Engerwitzdorf,gemeinde@engerwitzdorf.gv.at
Gemeindeverband A.ö. BKH Kustein,hannes.juffinger@bkh-kufstein.at
Freiwillige Feuerwehr Günselsdorf,franz.zoechling@feuerwehr.gv.at
Marktgemeinde Weitersfeld,"gemeinde@weitersfeld.at, ebm@zt-ebm.at"
Österreichischen Kinderfreunde - Landesorganisation Kärnten,info@baukreis.at
HALLAG Kommunal GmbH,o.haim@hall.ag
Österreichische Post AG,georg.aschauer@post.at
BM für Digitalisierung und Wirtschaftsstandort,
Medizinische Universität Innsbruck,"Wolfgang.Lentsch@uibk.ac.at, Sylvia.Riedmann-Flatz@uibk.ac.at"
Oberösterreichischer Landes-Feuerwehrverband,bernhard.gutjahr@ooelfv.at
Bundesinnung Gesundheitsberufe,julia.weiss@wko.at
GVA Baden,h.ferschitz@gvabaden.at
Rail Cargo Austria AG,Andreas.Lehner@oebb.at
Gemeinde Zeiselmauer-Wolfpassing,"michael@egg-co.at, gemeinde@zeiselmauer.gv.at"
Sozialversicherungsanstalt der Selbständigen (SVS),
Stadtgemeinde Purbach am Neusiedler See,stadtgemeinde@purbach.at
WNM Wein Niederösterreich Marketing GmbH,office@kanzlei-breitenfeld.at
Caritas Österreich (Caritas Austria),barbara.reiterer@caritas-austria.at
ELGA GmbH,office@kinsky-consulting.at
Amt der Oö. Landesregierung,gwb-l.post@ooe.gv.at
Schloß Schönbrunn Kultur- und Betriebsgesellschaft m.b.H.,
"""Republik Österreich (Bund)""",
Paris Lodron Universität Salzburg,
Ärztekammer für Kärnten,
Feuerwehr Purkersdorf,michael.gindl2@feuerwehr.gv.at
"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau (BVAEB)",Wolfgang.Koeberl@bvaeb.at
Kepler Universitätsklinikum GmbH,guenter.hattmannsdorfer@kepleruniklinikum.at
HALLAG Kommunal GmbH,wolfgang.holzer@bernard-gruppe.com
Stadtwerke Trofaiach Ges.m.b.H.,b.puehringer@mup.at
GABL Bruck/Leitha,ztbuero@paikl.at
REGIOnalplanungsgemeinschaft Bregenzerwald,lukas.schrott@regiobregenzerwald.at
Ludwig Boltzmann Gesellschaft - österreichische Vereinigung zur Förderung der wissenschaftlichen Forschung,mathilde.wolff@lbg.ac.at
Stadtgemeinde Mautern an der Donau,
"NÖ Bundeswasserbauverwaltung, Land NÖ, WA3",post.wa3@noel.gv.at
Amt der Oberösterreichischen Landesregierung,auwr.post@ooe.gv.at
Stadtgemeinde Knittelfeld,"klaus.wallner@knittelfeld.gv.at, bernd.rehschuetzecker@knittelfeld.gv.at"
"Republik Österreich, Bildungsdirektion für Wien",
Stadtgemeinde Mürzzuschlag,"stadtamt@mzz.at, kapfenberg@mach-partner.at"
VERBUND Green Power GmbH,franz-christoph.sulzmann@verbund.com
"Bundesministerium für Landwirtschaft, Regionen und Tourismus  (BMLRT)",
Sozialversicherungsanstalt der Selbständigen,
Stadtgemeinde Perg,stadtamt@stadt.perg.at
Rail Equipment GmbH & CO KG,erich.cauder@oebb.at
Stadtgemeinde Zistersdorf,hansjoerg.luxbacher@noel.gv.at
Kompetenzzentrum Holz GmbH,h.lammer@wood-kplus.at
Internationale Rheinregulierung,office@breuss-maehr.at
Gemeinde Biberbach,office@ikw-amstetten.at
Gemeinde Schlierbach,bauamt@schlierbach.at
CeMM Forschungszentrum für Molekulare Medizin GmbH,akoren@cemm.oeaw.ac.at
Österreichische Gesundheitskasse,bfmb-sekretariat-15@oegk.at
"Bundesministerium für Klimaschutz, Energie, Mobilität, Innovation und Technologie (BMK)",
Österreichische GEsundheitskasse,bfmb-sekretariat-15@oegk.at
Marktgemeinde Hausleiten,gemeinde@hausleiten.gv.at
Gemeinde Bartholomäberg,gemeinde@bartholomaeberg.at
Marktgemeinde Deutschfeistritz,resch@deutschfeistritz.gv.at
wien3420 aspern Development AG,
Magistrat Krems an der Donau,c.schrattbauer@schneider-consult.at
Wien 3420 Umwelt und Baulog GmbH,umwelt_baulog_aspern@kwr.at
ZWT Accellerator GmbH,office@rieglerriewe.co.at
Marktgemeinde St. Leonhard am Forst,buergerservice@st-leonhard-forst.gv.at
"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau (BVAEB)",bvaeb-tg-sanierung@kwr.at
"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau (BVAEB)",za-feldkirch@kwr.at
Stadtgemeinde Schrems,stefan.apfelthaler@schrems.at
Feuerwehr Melk,melk@feuerwehr.gv.at
Oberösterreichische Gesundheitsholding GmbH,contact.pek@ooeg.at
Gemeinde Muckendorf-Wipfing,office@pfeiller.at
ART for ART Theaterservice GmbH,vergabe@h-i-p.at
Marktgemeinde Lenzing,marktgemeinde@lenzing.or.at
"Höhere technische Bundeslehranstalt Klagenfurt, Mössingerstraße 25",office@htl-klu.at
Gemeinde Seiersberg-Pirka,office@igbk.at
HSI Hartberg Standortentwicklung und Immobilien GmbH & Co KG,weber@geosys.at
Marktgemeinde Erlauf,erlauf@friedensgemeinde.at
Marktgemeinde Maria Enzersdorf,gemeindeamt@mariaenzersdorf.gv.at
Stadtgemeinde Traismauer,Riederer.Thomas@traismauer.at
Reinhalteverband Salzach-Pongau,gf@rhv-salzach-pongau.at
Stadtgemeinde Peuerbach,stadt@peuerbach.ooe.gv.at
BEV - Bundesamt für Eich- und Vermessungsesen - PTP – Physikalisch-technischer Prüfdienst,
Bundesministerium für Finanzen - Sektion I/Gruppe B/Abteilung 3 (Beschaffung & Infrastruktur),
Marktgemeinde Apetlon,post@apetlon.bgld.gv.at
"Bundesministerium für Finanzen - Öffentlichkeitsarbeit, Kommunikation und Protokoll",
"Republik Österreich, vertreten durch die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, vertreten durch die Landeshauptfrau von Niederösterreich, vertreten durch das Amt der Niederösterreichischen Landesre-gierung, Abteilung Wasserwirtschaft",melanie.maltschnig@porr.at
BEST - Bioenergy and Sustainable Technologies GmbH,katharina.trettnak-hahnl@kwr.at
Fonds zur Förderung der wissenschaftlichen Forschung (FWF),marc.seumenicht@fwf.ac.at
Stadtgemeinde Mariazell,office@ra-wiese.at
Marktgemeinde Kirchbach - Zerlach,riedler@planwerkstadt.cc
Stadtgemeinde Neusield am See,martin.marosits@ib-wachter.at
Gemeinde Aistersheim,r.falk@limag.cc
"""Wiener Frauenhäuser"" - Soziale Hilfen für von Gewalt betroffene Frauen und ihreKinder",vergabe@h-i-p.at
Abfallwirtschaftsverband Liezen,christina.ablasser@awv-liezen.at
NÖ Kulturwirtschaft GesmbH,
Klinikum Freistadt,office@omniahochp.at
Gemeinde Engerwitzdorf,
Marktgemeinde Oggau,office@ibl-zt.at
Wirtschaftspark Burgenland Nord Kittsee-Parndorf Erwerbs- u. Erschließungs-Ges.m.b.H,office@businessparks-burgenland.at
RailNetEurope,miloslav.kogler@rne.eu
Marktgemeinde Neuhofen/Krems,office@ikw-amstetten.at
"Stadtgemeinde Traismauer, Wiener Str. 8, 3133 Traismauer",office@ib-retter.at
VERBUND Energy4Customers GmbH,Mathias.Hofbauer@verbund.com
RHV Neusiedlersee Region Westufer,office@oestap.at
Marktgemeinde Steinbrunn,post@steinbrunn.bgld.gv.at
Gemeinde Gallzein,"gemeinde@gallzein.tirol.gv.at, office@ztmp.at"
Marktgemeinde St. Georgen an der Gusen,gemeinde@st-georgen-gusen.ooe.gv.at
Caritas Österreich,mita.johnson@caritas-austria.at
Gemeinde Andau,r.kaufmann@andau.bgld.gv.at
aed - Agency for Economic Cooperation and Development,office@aed.or.at
Donau Chemie Aktiengesellschaft,
Marktgemeinde St.Andrä-Wördern,peter.ohnewas@staw.at
Gemeinde Gschwandt,buergermeister@gschwandt.ooe.gv.at
VERBUND Hydro Power GmbH,michael.diwis@verbund.com
Marktgemeinde Gaweinstal,office@kraner.at
Marktgemeinde Wiener Neudorf,gemeinde@wiener-neudorf.gv.at
Agrarmarkt Austria,michael.zehetmayer@ama.gv.at
Wiener Zeitung Digitale Publikationen GmbH,antonia.bittermann@liebenwein.eu
Research Center for Non Destructive Testing GmbH,office@recendt.at
Gemeindeverband für Abfallwirtschaft und Abgabeneinhebung im Verwaltungsbezirk Baden („GVA Baden“),
Deutsche Zentrale für Tourismus e.V.,lars.dehne@germany.travel
Marktgemeinde Prottes,peter.klietsch@prottes.gv.at
Österr. Forschungsförderungsgesellschaft mbH.,
Österreichische Galerie Belvedere,katharina.trettnak-hahnl@kwr.at
HochschülerInnenschaft der HTU Graz,vorsitz@htugraz.at
Abwasserverband Hall in Tirol - Fritzens,office@tba-telfs.at
ZWT Accellerator GmbH,
Marktgemeinde Neustadtl/Donau,office@ikw-amstetten.at
Gemeindeverband für Abfallbehandlung Bezirk Bruck/Leitha (GABL),office@gabl.gv.at
"""Wiener Frauenhäuser"" - Soziale Hilfen für von Gewalt betroffene Frauen und ihreKinder",
Stadtgemeinde Fürstenfeld,office@richter-architektur.at
Wassergenossenschaft Rankweil,office@breuss-maehr.at
Österreichische Forschungsförderungsgesellschaft mbH,"felicitas.zacherl@ffg.at, julia.meusburger@ffg.at"
ART for ART Theaterservice GmbH,
Marktgemeinde Kundl,"afg@kundl.tirol.gv.at, michael@egg-co.at"
Gemeindeverband für Umweltschutz und Abgabeneinhebung im Bezirk St.Pölten,freiler@gvu-st.poelten.at
Ludwig Boltzmann Gesellschaft – Österreichische Vereinigung zur Förderung der wissenschaftlichen Forschung,mathilde.wolff@lbg.ac.at
"Republik Österreich vertreten durch das Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",felicitas.zacherl@ffg.at
Gemeindeverband für Abfallbehandlung Bezirk Bruck/Leitha (GABL),
"BG und BRG Völkermarkt, Pestalozzistraße 1",bg-voelk@bildung-ktn.gv.at
VERBUND AG,kinga.kruzlics@verbund.com
Wiener Gesundheitsförderung,office@kinsky-consulting.at
Gemeinde Munderfing,rebekka.krieger@munderfing.ooe.gv.at
Gemeinde Wolfsthal,office@kraner.at
Stadtgemeinde Ebreichsdorf,office@baustudio-hoefer.at
Bundesministerium für Landesverteidigung,ka.5@bmlv.gv.at
Kompetenzzentrum Holz GmbH,"e.zikulnig-rusch@wood-kplus.at, h.lammer@wood-kplus.at"
Marktgemeinde Regau,office@oestap.at
Ludwig Boltzmann Gesellschaft GmbH,
Wirtschaftsagentur Wien. Ein Fonds der Stadt Wien.,
VHP-Salzburg AG Errichtung KW Stegenwald,michael.diwis@verbund.com
Gemeinde Raasdorf,gemeinde@raasdorf.at
EDA Energiewirtschaftlicher Datenaustausch GmbH,beg_eda@kwr.at
IRR Internationale Rheinregulierung,office@breuss-maehr.at
Klima- und Energiemodellregion Elsbeere Wienerwald,office@elsbeere-wienerwald.at
Wirtschaftspark Ybbstal GmbH und Fuchs Metalltechnik GmbH,office@ikw-amstetten.at
"Republik Österreich, vertreten durch das Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",vergabeverfahren@fsm.law
Sportvereinigung Arminen eV,bmst@scharner.com
Veterinärmedizinische Universität Wien,corinna.widorn@vetmeduni.ac.at
Research Center for Non Destructive Testing GmbH,
Marktgemeinde Naarn im Machlande,gemeinde@naarn.ooe.gv.at
aed - Agency for Economic Cooperation and Development,
ZWT Accelerator GmbH,medcampus.zwt2@rieglerriewe.co.at
Stadtgemeinde Purbach,stadtgemeinde@purbach.gv.at
BEST - Bioenergy and Sustainable Technologies GmbH,
"Auftraggeber (AG) ist die Republik Österreich, vertreten durch die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Abteilung V/3, vertreten durch den Landeshauptmann von Oberösterreich, vertreten durch die Abteilung Anlagen-, Umwelt- und Wasserrecht",office@gruppewasser.at
Gemeinde Piberbach,
Marktgemeinde Lichtenwörth,harry.muellner@lichtenwoerth.at
Gemeinde Gnadendorf,"office@kienerconsult.at, k.christenheit@gnadendorf.gv.at"
WV Leibnitzerfeld Süd,office@mach-partner.at
Gemeinde Aistersheim,
"Auftraggeber (AG) ist die Republik Österreich, vertreten durch die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, vertreten durch die Landeshauptfrau von Niederösterreich, vertreten durch die Abteilung Wasserwirtschaft",office@boden-wasser.at
Marktgemeinde Vorderweißenbach,finanz@vorderweissenbach.at
Ludwig Boltzmann Gesellschaft – Österreichische Vereinigung zur Förderung der wissenschaftlichen Forschung,
"Versicherungsanstalt öffentlich Bediensteter, Eisenbahnen und Bergbau (BVAEB)",katharina.trettnak-hahnl@kwr.at
Abwasserverband Serfaus-Pfunds-Tösens,office@tba-telfs.at
Abwasserverband Region Feldkirch,office@tba-telfs.at
Gemeindeverband für Umweltschutz und Abgabeneinhebung im Bezirk St.Pölten,
Businesspark Mittelburgenland GmbH,office@businessparks-burgenland.at
MarGemeinde St.Stefan im Rosental Bildungs-und Freizeiteinrichtungs KG,"gemeinde@st.stefan.at, gemeinde@st.stefan.at"
"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology",vergabeverfahren@fsm.law
Gemeinde St. Leonhard im Pitztal,ernst.partl@kaunergrat.at
Wien 3420 Umwelt und Baulog GmbH,
Ludwig Boltzmann Gesellschaft - österreichische Vereinigung zur Förderung der wissenschaftlichen Forschung,
CeMM Forschungszentrum für Molekulare Medizin GmbH,
Theater Baden Betriebs GmbH,martin.stummvoll@noeku.at
Die Innovationsstiftung für Bildung,
Niederösterreich-Werbung GmbH,Christoph.Henneis@noe.co.at
NÖ BAWU NÖ Beteiligungsgesellschaft für Abfallwirtschaft und Umweltschutz GmbH,office@astepahead-law.at
Fonds zur Förderung der wissenschaftlichen Forschung - FWF,marc.seumenicht@fwf.ac.at
Gemeinde Loipersbach,post@loipersbach.bgld.gv.at
"Republik Österreich vertreten durch das Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",
Niederösterreich-Werbung GmbH,daniela.mayr@noe.co.at
Stadt Krems an der Donau,office@dierechtsanwaelte.at
Businesspark S7 Südburgenland GmbH,office@wirtschaftsagentur-burgenland.at
Stadtgemeinde Neunkirchen,office@kraner.at
Tourismusverband Tiroler Oberland,office@kaunertal.com
"Republik Österreich, vertreten durch die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, vertreten durch den Landeshauptmann von Kärnten, vertreten durch die Abteilung 8 - Umwelt, Energie und Naturschutz",christian.biermeier@afry.com
Austro Control Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung,petra.rabitschova@austrocontrol.at
WVB Grazerfeld Süd Ost,office@wasserverband.at
Abwasserverband Grazerfeld,vka@awvgrazerfeld.at
Marktgemeinde Lichtenwörth,gemeindeamt@lichtenwoerth.at
Stadtgemeinde Freistadt,christa.kreindl@freistadt.ooe.gv.at
Stadtgemeinde Traun,harald.hoeglinger@traun.at
Agrarmarkt Austria,
OeAD-GmbH Agentur für Bildung und Internationalisierung,
Marktgemeinde Klein-Pöchlarn,office@kleinpoechlarn.at
Fachverband Metalltechnische Industrie,schicker@fmti.at
Fonds zur Förderung der wissenschaftlichen Forschung (FWF),Susanne.springer-briem@fwf.ac.at
Österreichische Post AG,tamara.petrovic@post.at
"Santesis Technisches Gebäudemanagement & Service GmbH A-1060 Wien, Gumpendorferstraße 108 im Namen der Krankenfürsorgeanstalt der Bediensteten der Stadt Wien",
Bildungsdirekion Salzburg,
Veterinärmedizinische Universität Wien,katharina.trettnak-hahnl@kwr.at
"The Republic of Austria, represented by the Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology",
Bundesministerium Finanzen,
Fonds zur Förderung der wissenschaftlichen Forschung - FWF,
Stadtgemeinde Klosterneuburg,"abwasser@klosterneuburg.at, michael@egg-co.at"
NÖ BAWU NÖ Beteiligungsgesellschaft für Abfallwirtschaft und Umweltschutz GmbH,
Stadtgemeinde Gänserndorf,"infrastruktur@gaenserndorf.at, office@kienerconsult.at"
Wirtschaftsuniversität Wien - Campusmanagement,Gregor.Bauer@wu.ac.at
"Wirtschaftskammer Kärnten, BgA Vermietung und Verpachtung","renate.safron@wkk.or.at, alexander.schmidt@wkk.or.at"
Stadtgemeinde Hollabrunn,leeb@hollabrunn.gv.at
Gemeinde Fernitz-Mellach,vka@awvgrazerfeld.at
Gemeinde Bürs,office@breuss-maehr.at
Wiener Zeitung GmbH,office@liebenwein.eu
"Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology",
Fonds zur Förderung der wissenschaftlichen Forschung (FWF),
Stadt Krems an der Donau,
Städtische Betriebe Rottenmann GmbH,kapfenberg@mach-partner.at
"Stadtgemeinde Klosterneuburg, GA IV/5 Abwasserentsorgung, Rathausplatz 1, 3400 Klosterneuburg",abwasser@klosterneuburg.at
Gemeindeabwasserverband Mittleres Schmidatal,tomas.pachner@grossweikersdorf.gv.at
Veterinärmedizinische Universität,
Energy Community Secretariat,tetiana.zhmudenko@energy-community.org
Marktgemeinde Großweikersdorf,tomas.pachner@grossweikersdorf.gv.at
Wasserverband Kurbezirk Bad Hall,office@zt-weichselbaumer.at
Veterinärmedizinische Universität Wien,hannes.maurer@vetmeduni.ac.at
Marktgemeinde St.Stefan im Rosental Bildungs-und Freizeiteinrichtungs KG,gemeinde@st.stefan.at
WIPUR Wirtschaftsbetriebe der Stadt Purkersdorf GmbH,werner.prochaska@wipur.net
Wasserverband Lochen-Mattsee-Palting,gemeinde@lochen.ooe.gv.at
Markgemeinde St.Stefan im Rosental Bildungs- und Freizeiteinrichtungs KG,gemeinde@st.stefan.at
WNM Wein Niederösterreich Marketing GmbH,
Marktgemeinde Eberschwang,gemeinde@eberschwang.ooe.gv.at
Wassergenossenschaft Weinbergl,office@pfeiller.at
Österr. Forschungsförderungsgesellschaft mbH,recht@ffg.at
Magistrat Waidhofen/Ybbs,office@ikw-amstetten.at
Sozialversicherungs-Chipkarten Betriebs- und Errichtungsgesellschaft - SVC,vergabeverfahren@svc.co.at
Stadtgemeinde Traismauer,riederer.thomas@traismauer.at
Stadtgemeinde Leonding,martina.modl@leonding.at
Marktgemeinde Zwentendorf,manuela.boeck@zwentendorf-donau.gv.at
Marktgemeinde Palterndorf-Dobermannsdorf,office@kraner.at
Gemeinde Göttlesbrunn-Arbesthal,ztbuero@paikl.at
Marktgemeinde Naarn im Machlande,
Österreichische Post AG,rene.leitner-paulitsch@post.at
Gemeinde Regau,bauamt@regau.ooe.gv.at
AWV Raum Frohnleiten,kapfenberg@mach-partner.at
Marktgemeinde Unterweißenbach,marktgemeinde@untereweissenbach.ooe.gv.at
Stadtgemeinde Leonding,michael.neissl@leonding.at
Marktgemeinde Gröbming,marktgemeinde@groebming.at
Marktgemeinde Hausleiten,"gemeinde@hausleiten.gv.at, kanzlei@zt-grand.at"
Gemeinde Grünburg,gemeinde@gruenburg.ooe.gv.at
Wasserverband Mürzverband undAbfallwirtschaftsverband Mürzverband,weber@geosys.at
Austrian Research Promotion Agency (Österreichische Forschungsförderungsgesellschaft mbH - FFG),vergabeverfahren@fsm.law
Österreichische Post AG,cecilia.alexy@post.at
Stadtgemeinde Freistadt Eisenstadt,technik@eisenstadt.at
Wiener Gesundheitsförderung gemeinnützige GmbH,office@kinsky-consulting.at
"Höhere Bundelsehranstalt für wirtschaftliche Berufe ""DIE WI`MO"" Klagenfurt",office@diewimo.at
"Höhere technische Bundeslehranstalt Klagenfurt, Mössingerstraße 25",hubert.lutnik@htl-klu.at
Austrian Development Agency,GAIA-Procurement@ada.gv.at
VERBUND AG,tanja.weiser@verbund.com
Marktgemeinde Schwadorf,bauaumt@schwadorf.gv.at
"Wassergenossenschaft Neuhaus - Trinkwasser, Geschäftsführerin: Marianne Koppendorfer",office@ikw-amstetten.at
Forsttechn. Dienst für Wildbach- und Lawinenverbauung,office@perzplan.at
"Auftraggeber (AG) ist die Republik Österreich, vertreten durch das Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Abteilung V/3, vertreten durch die Landeshauptfrau von Niederösterreich, vertreten durch die Abteilung Wasserwirtschaft",office@gruppewasser.at
Marktgemeinde Neuhofen/Ybbs,gemeinde@neuhofen-ybbs.at
Stammadresse,vergabeverfahren@svc.co.at
FF Reisenberg,reisenberg@feuerwehr.gv.at
EUREGIO HtBLuVA Ferlach,direktion@htl-ferlach.at
Österreichisch-Bayerische Kraftwerke AG,joerg.schreiner@verbund.com
Österr. Forschungsförderungsgesellschaft mbH,felicitaszacherl@ffg.at
Wiener Gesundheitsförderung,
Gemeinde Piberbach,gemeinde@piberbach.at
"Marktgemeinde Schwarzenau, Waidhofnerstraße 2,3900 Schwarzenau",office@ib-retter.at
"Land Niederösterreich, p.A. Amt der NÖ-Landesregierung, Abteilung Sanitäts- und  Krankenanstaltenrecht",
Marktgemeinde Göllersdorf,gemeinde@goellersdorf.gv.at
"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie vertreten durch das Amt der Oberösterreichischen Landesregierung, Direktion Umwelt und Wasserwirtschaft, Abteilung Anlagen-Umwelt- und Wasserrecht, Kärntner Straße 10-12, 4021 Linz",v.brandner@blpgeo.at
Dachverband der Sozialversicherungsträger,vergabeverfahren@svc.co.at
Die NÖ Umweltverbände,office@astepahead-law.at
ÖBB Personenverkehr AG,
A.ö. Bezirkskrankenhaus St. Johann in Tirol,gschwandtner@khsj.at
Krankenfürsorgeanstalt der Bediensteten der Stadt Wien (KFA),kundendienst@kfawien.at
Wiener Zeitung GmbH,Antonia.Bittermann@liebenwein.eu
Marktgemeinde Altmünster,alexander.strobl@altmuenster.ooe.gv.at
Gemeinde Klaus an der Pyhrnbahn,office@ikw-amstetten.at
Marktgemeinde Gars am Kamp,"gemeinde@gars.at, kanzlei@zt-grand.at"
ecoplus. Niederösterreichische Wirtschaftsargentur GmbH,"office@oestap.at, ramstorfer@oestap.at"
"Auftraggeber (AG) ist die Republik Österreich, vertreten durch die Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Abteilung V/3, vertreten durch den Landeshauptmann von Oberösterreich, vertreten durch die Abteilung Anlagen-, Umwelt- und Wasserrecht",
ÖBB Immobilienmanagement GmbH,
Innsbrucker Soziale Dienste GmbH,"gf@isd.or.at, office@fabricatio.at"
Freiwillige Feuerwehr Maria Jeutendorf - Mauterheim,knabby12@gmx.at
NÖ BAWU NÖ Beteiligungsgesellschaft für Abfallwirtschaft und Umweltschutz GmbH,herbert.permoser@bawu.at
Agency for Economic Cooperation and Development,
Stadtgemeinde Hardegg,"stadtgemeinde@hardegg.gv.at, benda@oestap.at"
Marktgemeinde Mettmach,reichinger@mettmach.ooe.gv.at
Gemeinde Zelking-Matzleinsdorf,office@ikw-amstetten.at
Freiwillige Feuerwehr der Stadt Hollabrunn,christian.holzer@feuerwehr.gv.at
Marktgemeinde St. Georgen/Ybbsfelde,office@ikw-amstetten.at
Marktgemeinde Taufkirchen,r.falk@limag.cc
Medizinische Universität Innsbruck,wolfgang.lentsch@uibk.ac.at
GAV Oberer Weidenbach,office@kraner.at
itworks Personalservice & Beratung gGmbH,magdalena.byma-tschmelak@oesb-gruppe.com
Fonds zur Förderung der wissenschaftlichen Forschung - FWF,Falk.Reckling@fwf.ac.at
Universität Innsbruck,"Wolfgang.Lentsch@uibk.ac.at, Yesim.Eraslan@uibk.ac.at"
Die NÖ Umweltverbände,
Universität Innsbruck,"yesim.eraslan@uibk.ac.at, wolfgang.lentsch@uibk.ac.at"
"Auftraggeber (AG) ist die Republik Österreich, vertreten durch das Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie, Abteilung V/3, vertreten durch die Landeshauptfrau von Niederösterreich, vertreten durch die Abteilung Wasserwirtschaft",
Innsbrucker Soziale Dienste GmbH,"gf@isd.or.at, k.becke@isd.or.at"
FF Wr. Neustadt,N21401@feuerwehr.gv.at
Thomas Gschösser,info@alpbachtal2050.at
Gemeinde Kramsach,info@alpbachtal2050.at
A.ö. Bezirkskrankenhaus St. Johann in Tirol,
Dachverband der Sozialversicherungsträger,
Marktgemeinde Velden am Wörthersee,heinz.rossmann@integral-zt.at
Marktgmeinde Frankenburg am Hausruck,elfriede.hollnbuchner@frankenburg.ooe.gv.at
Marktgemeinde Brunn am Gebirge,h.pertl@brunnamgebirge.gv.at
Marktgemeinde Unterweißenbach,marktgemeinde@unterweissenbach.ooe.gv.at
Verkehrsverbund Ost-Region (VOR) GmbH,ausschreibungen@vor.at
Rußbach Wasserverband,post.wa3weinviertel@noel.gv.at
Gemeinde Alberndorf in der Riedmark,gemeinde@alberndorf.ooe.gv.at
Stadtgemeinde Altheim,office@altheim.ooe.gv.at
Gemeinde Lochen,gemeinde@lochen.ooe.gv.at
Austrian Research Promotion Agency (Österreichische Forschungsförderungsgesellschaft mbH - FFG),
Sozialversicherungsanstalt der Selbständigen,kathrin.mayrhofer@svs.at
Marktgemeinde Reichenthal,amtsleitung@reichenthal.at
Marktgemeinde Tullnerbach,office@kraner.at
"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie vertreten durch das Amt der Niederösterreichischen Landesregierung, Abt. WA 2, vertreten durch blp GeoServices GmbH",r.prantl@blpgeo.at
Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft,christian.siebenhofer@asfinag.at
Marktgemeinde Aflenz,office@igbk.at
Gemeinde Palting,r.falk@limag.cc
Gemeinde Lanzendorf,ausschreibung@wg-a.com
Research Center for Non Destructive Testing GmbH,edgar.scherleitner@recendt.at
Marktgemeinde Kundl,"tiefbau@kundl.tirol.gv.at, michael@egg-co.at"
Marktgemeinde Königswiesen,marktgemeinde@koenigswiesen.at
Marktgemeinde Mauerkirchen,amtsleitung@mauerkirchen.ooe.gv.at
Stadtgemeinde Bruck/Leitha,ztbuero@paikl.at
Gemeindeverband für Abgabeneinhebung und Umweltschutz im Bezirk Krems,wildpert@gvkrems.at
Businesspark S7 Südburgenland GmbH,office@wirtschaftsargentur-burgenland.at
Universität Innsbruck,"Yesim.Eraslan@uibk.ac.at, Wolfgang.Lentsch@uibk.ac.at"
